date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:37:28	49841/49841	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Sep%202016%2020:49:58%20GMT	http://themestarz.net/html/propper/index-v1.html	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/index-v1.html	(from )
16:37:28	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Aug%202021%2005:14:45%20GMT	http://themestarz.net/robots.txt		(from )
16:37:29	32318/32318	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Sep%202016%2017:09:20%20GMT	http://themestarz.net/html/propper/assets/fonts/font-awesome.css	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/fonts/font-awesome.css	(from http://themestarz.net/html/propper/index-v1.html)
16:37:30	25237/25237	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Sep%202016%2017:09:19%20GMT	http://themestarz.net/html/propper/assets/fonts/elegant-fonts.css	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/fonts/elegant-fonts.css	(from http://themestarz.net/html/propper/index-v1.html)
16:37:32	146082/146082	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Sep%202016%2017:08:41%20GMT	http://themestarz.net/html/propper/assets/bootstrap/css/bootstrap.css	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/bootstrap/css/bootstrap.css	(from http://themestarz.net/html/propper/index-v1.html)
16:37:33	4614/4614	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Sep%202016%2017:09:13%20GMT	http://themestarz.net/html/propper/assets/css/owl.carousel.css	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/css/owl.carousel.css	(from http://themestarz.net/html/propper/index-v1.html)
16:37:34	8491/8491	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Sep%202016%2017:09:12%20GMT	http://themestarz.net/html/propper/assets/css/magnific-popup.css	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/css/magnific-popup.css	(from http://themestarz.net/html/propper/index-v1.html)
16:37:35	82986/82986	---M--	200	added ('OK')	text/css	date:Tue,%2029%20Nov%202016%2009:10:29%20GMT	http://themestarz.net/html/propper/assets/css/style.css	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/css/style.css	(from http://themestarz.net/html/propper/index-v1.html)
16:37:37	3494/3494	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Sep%202016%2017:11:27%20GMT	http://themestarz.net/html/propper/assets/img/logo.png	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/img/logo.png	(from http://themestarz.net/html/propper/index-v1.html)
16:37:38	4829/4829	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Sep%202016%2017:11:08%20GMT	http://themestarz.net/html/propper/assets/img/icon-white-shield.png	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/img/icon-white-shield.png	(from http://themestarz.net/html/propper/index-v1.html)
16:37:40	4648/4648	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Sep%202016%2017:11:07%20GMT	http://themestarz.net/html/propper/assets/img/icon-white-pin.png	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/img/icon-white-pin.png	(from http://themestarz.net/html/propper/index-v1.html)
16:37:41	3625/3625	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Sep%202016%2017:11:08%20GMT	http://themestarz.net/html/propper/assets/img/icon-white-wallet.png	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/img/icon-white-wallet.png	(from http://themestarz.net/html/propper/index-v1.html)
